name,place_id,formatted_address,latitude,longitude,rating,user_ratings_total,website,phone_number,search_query,search_location,category,planning_area,weighted_average_income,total_households,has_website,has_phone,has_rating,search_coverage
Marina Bay Link Mall,ChIJHXaCig4Z2jER6U4Qy8aX7Co,"8A Marina Blvd, Singapore 018984",1.2795303,103.8543391,4.3,3723,http://www.marinabaylink.com.sg/,6634 0888,fitness_center,"Marina Bay, Singapore",Fitness Studio,DOWNTOWN CORE,14925.66,1350.0,True,True,True,Local
UFIT CBD Hub - Club Street,ChIJ7_pADQ0Z2jERo9Kux8Y9MSs,"21 Club St, #01-01, Singapore 069410",1.2824769,103.8466987,4.9,445,https://www.ufit.com.sg/locations/clubstreet,6225 5059,fitness_center,"Chinatown, Singapore",Fitness Studio,OUTRAM,9371.743688254664,5466.0,True,True,True,Local
Kampong Glam Community Club,ChIJq6qqcrEZ2jERtJYskj9TJiA,"385 Beach Rd, Singapore 199581",1.3029472,103.8635062,4.1,361,https://www.onepa.gov.sg/cc/kampong-glam-cc,6295 0741,fitness_center,"Kampong Glam, Singapore",Fitness Studio,KALLANG,10084.228177543,31046.0,True,True,True,Local
Heartbeat @ Bedok ActiveSG Swimming Complex,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,"11 Bedok North Street 1, Singapore 469662",1.3271175,103.9322493,4.4,4064,https://www.activesgcircle.gov.sg/facilities/heartbeat-bedok-activesg-swimming-complex,6443 5511,fitness_center,"Bedok, Singapore",Fitness Studio,BEDOK,10710.615373350993,78532.0,True,True,True,Local
Bedok Community Centre,ChIJbfCQErUi2jERUUI_vMAxZ5g,"850 New Upper Changi Rd, Singapore 467352",1.3243238,103.9359818,4.2,1414,,6442 5317,fitness_center,"Bedok, Singapore",Fitness Studio,BEDOK,10710.615373350993,78532.0,False,True,True,Local
Woodlands Sports Centre (ActiveSG),ChIJV5hnA6wT2jERqD4CwNu0SpM,"2 Woodlands Street 12, Singapore 738599",1.434104,103.779798,4.1,2049,https://www.activesgcircle.gov.sg/facilities/woodlands-sport-centre,6269 4192,fitness_center,"Woodlands, Singapore",Fitness Studio,WOODLANDS,9184.241848443537,70416.0,True,True,True,Local
Sembawang Community Club,ChIJi3j7l5sU2jEROGUByFjhrSM,"117B Canberra Cres, #01-370, Singapore 752117",1.4514788,103.828856,4.1,446,http://go.gov.sg/sembcentral,6752 7212,fitness_center,"Sembawang, Singapore",Fitness Studio,SEMBAWANG,9856.022017546808,29749.0,True,True,True,Local
ActiveSG Sports Centre,ChIJTSDLM50U2jERQoCxNiUI-VY,"21 Canberra Link, Singapore 756973",1.4488628,103.8236134,0.0,0,https://www.activesgcircle.gov.sg/facilities?page=1&type=1,6374 5342,fitness_center,"Sembawang, Singapore",Fitness Studio,SEMBAWANG,9856.022017546808,29749.0,True,True,False,Local
Yishun Fit Club,ChIJdYxrO24U2jERja657FDF61c,"757 Yishun Street 72, Block 757, Singapore 760757",1.4265841,103.8340538,1.0,1,http://www.fitclub.sg/fitclub_locations/,9383 8656,fitness_center,"Yishun, Singapore",Fitness Studio,YISHUN,9019.018663760686,65153.0,True,True,True,Local
ActiveSG Sports Centre,ChIJ7RoekQ8U2jERDK4JtndMOWY,"101 Yishun Ave 1, Singapore 769130",1.411809,103.831229,5.0,1,https://www.activesgcircle.gov.sg/facilities?page=1&type=1,6756 7416,fitness_center,"Yishun, Singapore",Fitness Studio,YISHUN,9019.018663760686,65153.0,True,True,True,Local
Ang Mo Kio Community Centre,ChIJezqw494W2jERiMgKkfS_nVc,"795 Ang Mo Kio Ave 1, Singapore 569976",1.3668579,103.8407909,4.1,387,https://www.onepa.gov.sg/cc/ang-mo-kio-cc,6452 9644,fitness_center,"Ang Mo Kio, Singapore",Fitness Studio,ANG MO KIO,9398.25493644068,47200.0,True,True,True,Local
Bishan ActiveSG Sports Centre,ChIJCX6pHhoX2jERDmIqgb3RhuY,"5 Bishan St 14, Singapore 579783",1.3555048,103.8509503,4.1,14,https://www.myactivesg.com/facilities/bishan-sports-centre,6352 6631,fitness_center,"Bishan, Singapore",Fitness Studio,BISHAN,12483.410944381014,24524.0,True,True,True,Local
Bishan Community Club,ChIJ____7xMX2jERWYaeX5Kpxcw,"51 Bishan St. 13, Singapore 579799",1.3497251,103.8507226,4.2,1597,https://www.onepa.gov.sg/cc/bishan-cc,6259 4720,fitness_center,"Bishan, Singapore",Fitness Studio,BISHAN,12483.410944381014,24524.0,True,True,True,Local
Bishan Sports and Recreation Centre,ChIJx7bZHBoX2jER-hecDyx4avo,"5 Bishan St 14, Singapore 579783",1.3552839,103.8508785,3.8,12,https://www.myactivesg.com/facilities/bishan-sports-centre,6353 9235,fitness_center,"Bishan, Singapore",Fitness Studio,BISHAN,12483.410944381014,24524.0,True,True,True,Local
Hougang Community Club,ChIJAQAASDUW2jERRfi8_uLQm-g,"35 Hougang Ave 3, Singapore 538840",1.364645,103.8923352,4.3,1105,,6282 8887,fitness_center,"Hougang, Singapore",Fitness Studio,HOUGANG,10153.063186096142,65133.0,False,True,True,Local
Sengkang ActiveSG Sports Centre,ChIJ7UrY8HMW2jER3ouFYG5edII,"57 Anchorvale Rd, Singapore 544964",1.3967848,103.886901,4.3,2318,https://www.activesgcircle.gov.sg/facilities/sengkang-sport-centre,6315 3574,fitness_center,"Sengkang, Singapore",Fitness Studio,SENGKANG,10549.841220784238,72478.0,True,True,True,Local
ActiveSG Jurong East Sports Centre,ChIJ2XCvCiAQ2jERNcw38Db6v5w,"21 Jurong East Street 31, Singapore 609517",1.346998,103.729109,4.2,942,https://www.activesgcircle.gov.sg/facilities/jurong-east-sport-centre,6563 5052,fitness_center,"Jurong East, Singapore",Fitness Studio,TENGAH,0.0,0.0,True,True,True,Local
Jurong West ActiveSG Sports Centre,ChIJEwW7gpoP2jER4o0mrMTZddM,"20 Jurong West Street 93, Singapore 648965",1.3378059,103.6941925,4.3,1833,https://www.activesgcircle.gov.sg/facilities/jurong-west-sport-centre,6515 5332,fitness_center,"Jurong West, Singapore",Fitness Studio,JURONG WEST,9632.399985216842,74409.0,True,True,True,Local
Afterburner @ Temasek Club,ChIJvy3q_7kR2jERi765mrWsVN4,"131 Rifle Range Rd, Singapore 588396",1.3466744,103.7807581,4.3,6,http://www.temasekclub.org.sg/sports/gym,6801 4242,fitness_center,"Bukit Panjang, Singapore",Fitness Studio,BUKIT PANJANG,10223.16462037638,38525.0,True,True,True,Local
Bukit Panjang Community Club,ChIJJWt786YR2jERcIgIkdUxv_0,"8 Pending Rd, Singapore 678295",1.3765799,103.770559,4.1,936,https://m.facebook.com/bukitpanjangcc/,6506 0900,fitness_center,"Bukit Panjang, Singapore",Fitness Studio,BUKIT PANJANG,10223.16462037638,38525.0,True,True,True,Local
Senja-Cashew Community Club,ChIJs45bbr0R2jERwByR91EdWqw,"101 Bukit Panjang Rd, Singapore 679910",1.381403,103.764651,4.3,1238,https://www.onepa.gov.sg/cc/senja-cashew-cc,6219 4561,fitness_center,"Bukit Panjang, Singapore",Fitness Studio,CHOA CHU KANG,10535.758835482462,52657.0,True,True,True,Local
Choa Chu Kang ActiveSG Sports Centre,ChIJ_WX9ue0R2jER865IJyACAoc,"1 Choa Chu Kang Street 53, Singapore 689236",1.3910416,103.7481531,4.1,916,https://www.activesgcircle.gov.sg/facilities/choa-chu-kang-sport-centre,6767 1735,fitness_center,"Choa Chu Kang, Singapore",Fitness Studio,CHOA CHU KANG,10535.758835482462,52657.0,True,True,True,Local
Clementi ActiveSG Sports Centre,ChIJgRNCmI0a2jERsaiX0wOxGlE,"518 Clementi Ave 3, Singapore 129907",1.311074,103.765017,4.1,457,https://www.activesgcircle.gov.sg/facilities/clementi-sport-centre,6776 2560,fitness_center,"Clementi, Singapore",Fitness Studio,CLEMENTI,11191.556927093045,26815.0,True,True,True,Local
Clementi ActiveSG Swimming Complex,ChIJI-DMoY0a2jERfwouQaKgsSQ,"520 Clementi Ave 3, Singapore 129908",1.3107809,103.7656508,4.2,567,https://www.activesgcircle.gov.sg/facilities/clementi-swimming-complex,6779 0577,fitness_center,"Clementi, Singapore",Fitness Studio,CLEMENTI,11191.556927093045,26815.0,True,True,True,Local
Queenstown Community Centre,ChIJd579PQUEBBARwgdz6iK21hE,"365 Commonwealth Ave, Singapore 149732",1.2988065,103.8015646,4.2,695,https://www.pa.gov.sg/our-network/community-clubs/Locate-CC/detail/Queenstown-Community-Centre,,fitness_center,"Queenstown, Singapore",Fitness Studio,QUEENSTOWN,10724.055500982318,28504.0,True,False,True,Local
Trapeze Rec. Club,ChIJJ0ET-C0Z2jERu1HCVh7nBQg,"27 Tg Pagar Rd, Singapore 088450",1.2794119,103.843994,4.9,128,https://www.trapezerec.club/,9296 4927,fitness_center,"Outram, Singapore",Fitness Studio,OUTRAM,9371.743688254664,5466.0,True,True,True,Local
Potong Pasir Community Club,ChIJjVfWj3gX2jERHP9kSEkgmOM,"6 Potong Pasir Ave 2, Singapore 358361",1.332651,103.8671489,4.2,856,,6280 1182,fitness_center,"Potong Pasir, Singapore",Fitness Studio,TOA PAYOH,10071.888371896875,35569.0,False,True,True,Local
MacPherson Community Club,ChIJzcJ00CYY2jERLxMxOUXUtrc,"400 Paya Lebar Way, Singapore 379131",1.3236119,103.8847295,4.1,934,,6841 1085,fitness_center,"MacPherson, Singapore",Fitness Studio,GEYLANG,9511.15418625147,34040.0,False,True,True,Local
Geylang Sports and Recreation Centre,ChIJNSyS0yMY2jER-LDPOscbDYk,"601 Aljunied Ave 1, Singapore 389862",1.3212711,103.8880491,3.7,9,,6745 7175,fitness_center,"Aljunied, Singapore",Fitness Studio,GEYLANG,9511.15418625147,34040.0,False,True,True,Local
Eunos Fit Club,ChIJkza79UsZ2jERdpvSfaGrEgY,"Kampong Ubi CC, 10 Jln Ubi, Singapore 409075",1.3178052,103.9007147,0.0,0,,9782 6685,fitness_center,"Eunos, Singapore",Fitness Studio,GEYLANG,9511.15418625147,34040.0,False,True,False,Local
Club Revive,ChIJ1R5u1qkX2jERG7lQtvmii64,"414 Upper Paya Lebar Rd, Singapore 534994",1.3500472,103.8799367,5.0,13,https://www.clubrevive.life/,8919 0460,fitness_center,"Paya Lebar, Singapore",Fitness Studio,HOUGANG,10153.063186096142,65133.0,True,True,True,Local
Virgin Active Paya Lebar,ChIJgfCnragZ2jER9L5TfSSX0rg,"Paya Lebar Quarter, Tower 2, 1 Paya Lebar Rd, #04-06 Link, Singapore 408533",1.3176186,103.8936905,4.3,267,http://www.virginactive.com.sg/,6911 0580,fitness_center,"Paya Lebar, Singapore",Fitness Studio,GEYLANG,9511.15418625147,34040.0,True,True,True,Local
GRITYARD (Paya Lebar),ChIJS4rcOKAZ2jER0GR9_f5vuYw,"676 Geylang Rd, Singapore 389603",1.3145688,103.8903933,4.9,79,http://www.grityard.com/,9112 6768,fitness_center,"Paya Lebar, Singapore",Fitness Studio,GEYLANG,9511.15418625147,34040.0,True,True,True,Local
Rasa Fitkraft Academy,ChIJC-1P27YX2jERkguEjYtSNmo,"140 Paya Lebar Rd, #07-21 Az@Paya Lebar, Singapore 409015",1.327289,103.8906611,5.0,4,https://www.rasafitnessdance.com/schedule,8363 3421,fitness_center,"Paya Lebar, Singapore",Fitness Studio,GEYLANG,9511.15418625147,34040.0,True,True,True,Local
Division Athletics Paya Lebar,ChIJBZYbAQAZ2jERnfW4DUMwwRU,"511 Guillemard Rd, B1-02 Grandlink Square, Singapore 399849",1.3143063,103.8913348,4.8,9,https://www.divisionathletics.sg/,9009 1003,fitness_center,"Paya Lebar, Singapore",Fitness Studio,GEYLANG,9511.15418625147,34040.0,True,True,True,Local
Paya Lebar Wellness Centre,ChIJ34OyK7gX2jERBTEJnRGZkQw,"112 Hougang Ave 1, Block 112, Singapore 530112",1.3543219,103.8885096,3.8,6,,6281 5905,fitness_center,"Paya Lebar, Singapore",Fitness Studio,HOUGANG,10153.063186096142,65133.0,False,True,True,Local
Mountbatten Community Club,ChIJlxt-6D4Y2jERdqSqyoLuCZo,"87 Jln. Satu, Singapura 390087",1.3091347,103.8870064,3.9,173,https://www.onepa.gov.sg/cc/mountbatten-cc,6344 7387,fitness_center,"Mountbatten, Singapore",Fitness Studio,GEYLANG,9511.15418625147,34040.0,True,True,True,Local
HomeTeamNS Bedok Reservoir Clubhouse,ChIJIXd5bmI92jERurGm3gMY1bw,"900 Bedok North Rd, Singapore 479994",1.3414979,103.9193927,4.3,561,https://www.hometeamns.sg/bedok/,6708 6699,fitness_center,"Bedok Reservoir, Singapore",Fitness Studio,PAYA LEBAR,0.0,0.0,True,True,True,Local
Civil Service Club @ Loyang (Former Aloha Loyang),ChIJeaoMKbU92jERRVPqPC2m72M,"159W Jln. Loyang Besar, Singapore 507020",1.3803679,103.9620131,4.2,1675,https://www.cscloyang.sg/,6581 9033,fitness_center,"Loyang, Singapore",Fitness Studio,PASIR RIS,11846.999197728956,40510.0,True,True,True,Local
Pasir Ris East Community Club,ChIJURXsNa092jERHMncG26FzIo,"1 Pasir Ris Drive 4, #01-08 East Community Building, Singapore 519457",1.3685335,103.959445,4.1,1048,,6584 2798,fitness_center,"Pasir Ris Park, Singapore",Fitness Studio,PASIR RIS,11846.999197728956,40510.0,False,True,True,Local
Pasir Ris ActiveSG Swimming Complex,ChIJj69OSrA92jER42yLl8ctTU0,"120 Pasir Ris Central, Singapore 519640",1.3743382,103.9521336,4.2,388,https://www.facebook.com/pasirrissc,6583 8557,fitness_center,"Pasir Ris Park, Singapore",Fitness Studio,PASIR RIS,11846.999197728956,40510.0,True,True,True,Local
Village Hotel Changi,ChIJDyOtkBc82jERkMqi4Nb1gpo,"1 Netheravon Rd, Singapore 508502",1.3904644,103.9860557,4.1,3192,https://www.villagehotels.asia/en/hotels/village-hotel-changi?utm_source=googleplaces_vhc&utm_medium=organic,6379 7111,fitness_center,"Changi Village, Singapore",Fitness Studio,CHANGI,0.0,0.0,True,True,True,Local
Civil Service Club @ Changi,ChIJ84xKhBc82jERLY4gV_u2jGo,"2 Netheravon Rd, Singapore 508503",1.3914147,103.9862467,4.3,2237,http://www.cscchangi.sg/,6709 4709,fitness_center,"Changi Village, Singapore",Fitness Studio,CHANGI,0.0,0.0,True,True,True,Local
Ketam Mountain Bike Park,ChIJVWsZeW8-2jER_oDJU6R9d10,"Pulau Ubin, Singapore 508357",1.4114816,103.9477547,4.5,332,https://www.nparks.gov.sg/activities/fitness-sport-and-wellness/mountain-biking,1800 471 7300,fitness_center,"Pulau Ubin, Singapore",Fitness Studio,PASIR RIS,11846.999197728956,40510.0,True,True,True,Local
Singapore Island Country Club (Bukit Location),ChIJNecNarcQ2jERdw5GN_6OhK4,"240 Sime Rd, Singapore 288303",1.3413867,103.8105068,4.3,901,https://www.sicc.org.sg/,6466 2244,fitness_center,"Pulau Biola, Singapore",Fitness Studio,CENTRAL WATER CATCHMENT,0.0,0.0,True,True,True,Local
Seletar Country Club,ChIJtXXHuC8U2jERc3E8hMl67AQ,"101 Seletar Club Rd, Singapore 798273",1.4096707,103.8581161,4.2,1154,http://www.seletarclub.com.sg/,6486 0800,fitness_center,"Pulau Seletar, Singapore",Fitness Studio,YISHUN,9019.018663760686,65153.0,True,True,True,Local
The Row Space,ChIJ6ZqBzmYZ2jERCjABL5KysGU,"1 Aliwal St, Level 3 Unit 3B, Singapore 199894",1.3016691,103.8613158,4.9,33,http://therowspace.sg/,6239 5226,gym,"Kampong Glam, Singapore",Gym,ROCHOR,0.0,0.0,True,True,True,Local
Bukit Canberra ActiveSG Swimming Complex,ChIJ07CwhJgV2jERPh1RvfSWQ9c,"21 Canberra Link, Singapore 756973",1.4469472,103.8234656,3.6,123,https://www.activesgcircle.gov.sg/facilities/bukit-canberra-swimming-complex,6374 5342,gym,"Sembawang, Singapore",Gym,SEMBAWANG,9856.022017546808,29749.0,True,True,True,Local
Yishun ActiveSG Swimming Complex,ChIJK0xqkm0U2jERxE1kvqI95bU,"351 Yishun Ave 3, YISHUN Swimming Complex, Singapore 769057",1.4232449,103.833608,4.0,786,https://www.activesgcircle.gov.sg/facilities/yishun-swimming-complex,6752 5513,gym,"Yishun, Singapore",Gym,YISHUN,9019.018663760686,65153.0,True,True,True,Local
Sengkang ActiveSG Swimming Complex,ChIJJYYBC3QW2jER2gCyeq98yUQ,"57 Anchorvale Rd, Singapore 544964",1.3962952,103.8863013,4.3,1634,http://sengkangswimming.com/,6315 3574,gym,"Sengkang, Singapore",Gym,SENGKANG,10549.841220784238,72478.0,True,True,True,Local
